creator_user_id,username,creator_total_engagement
U1053,daily_stories_332,15
U1052,social_hub_574,12
U1014,global_vibes_309,4
U1041,global_lab_121,5
U1062,trend_hub_637,8
U1073,trend_vibes_403,15
U1044,urban_hub_273,7
U1079,pixel_stories_311,9
U1059,tech_spot_771,11
U1027,daily_media_662,17
U1008,spark_feed_113,4
U1003,daily_spot_220,5
U1021,travel_feed_437,10
U1083,social_media_870,18
U1063,social_pulse_874,10
U1005,food_studio_601,9
U1015,spark_feed_532,8
U1035,stream_pulse_152,3
U1057,global_media_341,1
U1037,buzz_spot_511,9
U1046,urban_feed_212,15
U1056,urban_hub_780,13
U1082,food_vibes_516,6
U1031,smart_vibes_519,7
U1024,global_stories_13,2
U1025,global_zone_157,16
U1047,stream_media_249,11
U1074,news_feed_657,8
U1067,viral_zone_262,2
U1004,trend_feed_438,12
U1016,daily_vibes_205,8
U1076,tech_studio_345,3
U1071,tech_pulse_915,26
U1084,travel_zone_532,9
U1011,global_vibes_719,6
U1072,travel_stories_668,9
